id,registrationNumber,ownerName,driverName,driverNIC,contactNumber,districtId,provinceId,deviceId,status,lastLat,lastLng,lastSpeed,lastHeading,lastTimestamp,registeredAt,updatedAt
"1","WP-TUK-0001","Lasith Pathirana","Chamara Jayasinghe","19712855319","706284327","3","1","DEV-0001","SUSPENDED","","","","","","2024-07-06T08:00:00Z",""
"2","WP-TUK-0002","Dinesh Silva","Nuwan Wickramasinghe","19971278794","757302070","3","1","DEV-0002","ACTIVE","6.783141","79.983345","37","290","2026-04-03T16:00:00.000Z","2024-07-21T08:00:00Z",""
"3","WP-TUK-0003","Kamal Herath","Sunil Seneviratne","19811902744","759126469","3","1","DEV-0003","ACTIVE","6.405087","79.953885","58","238","2026-04-03T16:00:00.000Z","2024-07-21T08:00:00Z",""
"4","WP-TUK-0004","Gayan Dissanayake","Ruwan Pathirana","19752114716","765149694","3","1","DEV-0004","ACTIVE","6.50222","79.937269","44","261","2026-04-03T16:00:00.000Z","2024-03-17T08:00:00Z",""
"5","WP-TUK-0005","Gayan Perera","Asanka Rajapaksa","19712017009","767441006","2","1","DEV-0005","ACTIVE","7.146944","79.839699","22","13","2026-04-03T16:00:00.000Z","2024-03-20T08:00:00Z",""
"6","WP-TUK-0006","Kumari Pathirana","Sandya Bandara","19823445018","743649442","3","1","DEV-0006","ACTIVE","6.63644","80.034859","20","91","2026-04-03T16:00:00.000Z","2024-05-24T08:00:00Z",""
"7","WP-TUK-0007","Chamari Silva","Buddhika Liyanage","19820833840","716573062","2","1","DEV-0007","ACTIVE","7.215069","80.142559","28","155","2026-04-03T16:00:00.000Z","2024-07-03T08:00:00Z",""
"8","WP-TUK-0008","Pradeep Ranasinghe","Gayan Ranasinghe","19893113986","713330028","2","1","DEV-0008","ACTIVE","7.163897","80.172668","33","201","2026-04-03T16:00:00.000Z","2024-08-09T08:00:00Z",""
"9","WP-TUK-0009","Sandya Rajapaksa","Sandya Liyanage","19783362614","765945644","1","1","DEV-0009","ACTIVE","6.995687","80.000254","42","261","2026-04-03T16:00:00.000Z","2024-08-05T08:00:00Z",""
"10","WP-TUK-0010","Ruwan Weerasinghe","Thisara Seneviratne","19950015192","744356498","2","1","DEV-0010","ACTIVE","7.218237","80.143613","1","140","2026-04-03T16:00:00.000Z","2024-07-07T08:00:00Z",""
"11","WP-TUK-0011","Dinesh Liyanage","Thisara Seneviratne","19811217541","747328105","1","1","DEV-0011","INACTIVE","","","","","","2024-04-25T08:00:00Z",""
"12","WP-TUK-0012","Lasith Ranasinghe","Sunil Weerasinghe","19773381276","758283524","2","1","DEV-0012","ACTIVE","7.257959","80.130206","1","229","2026-04-03T16:00:00.000Z","2024-03-11T08:00:00Z",""
"13","WP-TUK-0013","Nadeeka Fernando","Kumari Rajapaksa","19700686697","704389273","1","1","DEV-0013","SUSPENDED","","","","","","2024-05-17T08:00:00Z",""
"14","WP-TUK-0014","Kamal Dissanayake","Dinesh Perera","19831955243","739578566","1","1","DEV-0014","ACTIVE","6.900486","79.783659","48","246","2026-04-03T16:00:00.000Z","2024-02-05T08:00:00Z",""
"15","WP-TUK-0015","Sunil Perera","Dinesh Jayasinghe","19850924134","729162971","2","1","DEV-0015","SUSPENDED","","","","","","2024-03-07T08:00:00Z",""
"16","WP-TUK-0016","Gayan Herath","Dilini Perera","19710727503","741174219","1","1","DEV-0016","ACTIVE","6.915838","79.913433","43","330","2026-04-03T16:00:00.000Z","2024-03-15T08:00:00Z",""
"17","WP-TUK-0017","Dinesh Ranasinghe","Dinesh Dissanayake","19850859537","713200498","2","1","DEV-0017","ACTIVE","7.243796","79.888957","40","67","2026-04-03T16:00:00.000Z","2024-02-03T08:00:00Z",""
"18","WP-TUK-0018","Dinesh Wickramasinghe","Kamal Perera","19802185788","781411176","2","1","DEV-0018","ACTIVE","6.936433","79.928216","6","100","2026-04-03T16:00:00.000Z","2024-05-15T08:00:00Z",""
